Test Case Identifier,Step No,Step Data,Data,Expected Result,Priority,Test Summary,Description,TestPlan,Issue Link,TestSet,TestPlan,Sprint,Story,Assignee,Componente,Label,Label,Label,Label
MMCS - 35463 - 01,11,Validar integridad de la Informacion,,El sistema muestra correctamente los resultados obtenidos y estos coinciden correctamente con los criterios de busqueda previamente seleccionados,P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 02,1,Ingresar a Compass,,"Se ingresa correctamente al sistema y se muestran las siguientes opciones:
Inicio
ATOM
Grupo de tiendas
CANELA
Parrilla Promocional
SUMD
Digitalizacion
Red de Seguridad
WHPK Optimo
Tableros
Accesos directos
Manuales e instructivos
Cost Analytics
Price Gap
Politicas vigentes
Kraken
SUMD MDO Sams
Configuracion de Perfil
Registrar Anuncio",P1,TC-12-35463-02 - Sugerencia de Matches - Catalogo Extendido - Filtro 3P,,TODO,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 02,2,Seleccionar la opcion Kraken,,"Se visualiza correctamente el menu de Digitalizacion mostrando las siguientes opciones:

Kraken",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 02,3,Seleccionar la pestana de Automatches,,"Se visualiza correctamente la pantalla de Compass - Kraken - Automatches con los siguientes datos:
- opcion Formato de tienda
- opcion Banner
- opcion Competidor
- opcion Tribu
- opcion Super Squad
- opcion Squad
- opcion Departamento
- opcion Categoria
- boton Buscar (Deshabilitado inicialmente hasta que se realice como minimo la seleccion de Competidor)
- boton Limpiar Filtros",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 02,4,"Seleccionar Formato de tienda
(Seleccionar Walmart)",,"Se permite la seleccion de formato entre las siguientes opciones:
- Walmart
- Bodega Aurrera
- Sams",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 02,5,"Seleccionar Banner
(Elegir opcion Catalogo Extendido)",,"El sistema permite seleccionar entre 2 opciones:
- On Demand
- Catalogo extendido",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 02,6,Seleccionar Competidor,,"Al haber seleccionado la opcion Walmart se mostraran los competidores relacionados
Se permite la seleccion de competidor correctamente entre las siguientes opciones:

- Palacio de Hierro
- Costco
- Amazon
- HomeDepot
- Justo
- Coppel
- Liverpool
- Sears
- H.E.B.
- Mercado Libre
- Office Depot
- Elektra",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 02,7,Dar clic al boton Aplicar,,"El sistema realiza la seleccion correctamente y se habilita el boton Buscar
Tambien se muestran correctamente las siguientes pestanas:
- Sugerencia de Matches
- Matches Activos
- Cancelaciones solicitadas",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 02,8,Dar clic al boton Buscar,,"El sistema muestra el mensaje ""Resultados encontrados con exito"" seleccionando por defecto la pestana Sugerencia de Automatches mostrando la siguente Informacion:

- Descripcion: ""Aprueba la activacion de los matches correctos y elimina los incorrectos."" 
- boton Descargar Resultados
- boton Pantalla Completa
- Leyenda Matches Sugeridos 
- Radio button de resultados (Todos/Top Venta/Evento) seleccionando por defecto la opcion Top Venta
- Leyenda Modelo de Venta
- Check Box 1P
- Check Box 3P
- Campo de Texto Buscar por Descripcion o UPC
- Informacion de articulos con los siguientes campos:
   a) Descripcion Walmart
   b) UPC Walmart
   c) Articulos
   d) Modelo de Venta
   e) Seller Walmart
   f) Marca
   g) Competidor
   h) Descripcion Competidor
   i) SKU Competidor
   j) Seller Competidor
   k) Precio Walmart
   l) Precio Competidor
   m) Similitud
   m) URL
   o) Acciones (Aprobar/Eliminar)
- Filtro Registros por Pagina
- Contador Total de Registros
- botones de Paginacion",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 02,9,Dar clic al check box 3P,,El sistema permite correctamente la selección de flitro rellenado y marcando el cuadro con una palomita de blanca con fondo de color gris,P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 02,10,Validar integridad de la Informacion,,El sistema  muestra correctamente los resultados que tengan un Modelo de Venta 3P,P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 02,11,Dar clic al check box 3P,,El sistema anula correctamente la selección de flitro volviendo a dejar el check box en blanco,P1,,,,,,,,,,,,,,
MMCS - 35463 - 02,12,Validar integridad de la Informacion,,El sistema ya no muestra los arriculos que tengan un Modelo de Venta 3P,P1,,,,,,,,,,,,,,
MMCS - 35463 - 03,1,Ingresar a Compass,,"Se ingresa correctamente al sistema y se muestran las siguientes opciones:
Inicio
ATOM
Grupo de tiendas
CANELA
Parrilla Promocional
SUMD
Digitalizacion
Red de Seguridad
WHPK Optimo
Tableros
Accesos directos
Manuales e instructivos
Cost Analytics
Price Gap
Politicas vigentes
Kraken
SUMD MDO Sams
Configuracion de Perfil
Registrar Anuncio",P1,TC-12-35463-03 - Sugerencia de Matches - Catalogo Extendido - Filtro 1P,,TODO,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 03,2,Seleccionar la opcion Kraken,,"Se visualiza correctamente el menu de Digitalizacion mostrando las siguientes opciones:

Kraken",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 03,3,Seleccionar la pestana de Automatches,,"Se visualiza correctamente la pantalla de Compass - Kraken - Automatches con los siguientes datos:
- opcion Formato de tienda
- opcion Banner
- opcion Competidor
- opcion Tribu
- opcion Super Squad
- opcion Squad
- opcion Departamento
- opcion Categoria
- boton Buscar (Deshabilitado inicialmente hasta que se realice como minimo la seleccion de Competidor)
- boton Limpiar Filtros",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 03,4,"Seleccionar Formato de tienda
(Seleccionar Walmart)",,"Se permite la seleccion de formato entre las siguientes opciones:
- Walmart
- Bodega Aurrera
- Sams",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 03,5,"Seleccionar Banner
(Elegir opcion Catalogo Extendido)",,"El sistema permite seleccionar entre 2 opciones:
- On Demand
- Catalogo extendido",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 03,6,Seleccionar Competidor,,"Al haber seleccionado la opcion Walmart se mostraran los competidores relacionados
Se permite la seleccion de competidor correctamente entre las siguientes opciones:

- Palacio de Hierro
- Costco
- Amazon
- HomeDepot
- Justo
- Coppel
- Liverpool
- Sears
- H.E.B.
- Mercado Libre
- Office Depot
- Elektra",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 03,7,Dar clic al boton Aplicar,,"El sistema realiza la seleccion correctamente y se habilita el boton Buscar
Tambien se muestran correctamente las siguientes pestanas:
- Sugerencia de Matches
- Matches Activos
- Cancelaciones solicitadas",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 03,8,Dar clic al boton Buscar,,"El sistema muestra el mensaje ""Resultados encontrados con exito"" seleccionando por defecto la pestana Sugerencia de Automatches mostrando la siguente Informacion:

- Descripcion: ""Aprueba la activacion de los matches correctos y elimina los incorrectos."" 
- boton Descargar Resultados
- boton Pantalla Completa
- Leyenda Matches Sugeridos 
- Radio button de resultados (Todos/Top Venta/Evento) seleccionando por defecto la opcion Top Venta
- Leyenda Modelo de Venta
- Check Box 1P
- Check Box 3P
- Campo de Texto Buscar por Descripcion o UPC
- Informacion de articulos con los siguientes campos:
   a) Descripcion Walmart
   b) UPC Walmart
   c) Articulos
   d) Modelo de Venta
   e) Seller Walmart
   f) Marca
   g) Competidor
   h) Descripcion Competidor
   i) SKU Competidor
   j) Seller Competidor
   k) Precio Walmart
   l) Precio Competidor
   m) Similitud
   m) URL
   o) Acciones (Aprobar/Eliminar)
- Filtro Registros por Pagina
- Contador Total de Registros
- botones de Paginacion",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 03,9,Dar clic al check box 1P,,El sistema no permite la modificación de este campo ya que es un campo no editable,P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 04,1,Ingresar a Compass,,"Se ingresa correctamente al sistema y se muestran las siguientes opciones:
Inicio
ATOM
Grupo de tiendas
CANELA
Parrilla Promocional
SUMD
Digitalizacion
Red de Seguridad
WHPK Optimo
Tableros
Accesos directos
Manuales e instructivos
Cost Analytics
Price Gap
Politicas vigentes
Kraken
SUMD MDO Sams
Configuracion de Perfil
Registrar Anuncio",P1,TC-12-35463-04 - Sugerencia de Matches - Navegación por Tabla de Resultados,,TODO,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 04,2,Seleccionar la opcion Kraken,,"Se visualiza correctamente el menu de Digitalizacion mostrando las siguientes opciones:

Kraken",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 04,3,Seleccionar la pestana de Automatches,,"Se visualiza correctamente la pantalla de Compass - Kraken - Automatches con los siguientes datos:
- opcion Formato de tienda
- opcion Banner
- opcion Competidor
- opcion Tribu
- opcion Super Squad
- opcion Squad
- opcion Departamento
- opcion Categoria
- boton Buscar (Deshabilitado inicialmente hasta que se realice como minimo la seleccion de Competidor)
- boton Limpiar Filtros",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 04,4,"Seleccionar Formato de tienda
(Seleccionar Walmart)",,"Se permite la seleccion de formato entre las siguientes opciones:
- Walmart
- Bodega Aurrera
- Sams",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 04,5,Seleccionar Banner,,"El sistema permite seleccionar entre 2 opciones:
- On Demand
- Catalogo extendido",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 04,6,Seleccionar Competidor,,"Al haber seleccionado la opcion Walmart se mostraran los competidores relacionados
Se permite la seleccion de competidor correctamente entre las siguientes opciones:

- Palacio de Hierro
- Costco
- Amazon
- HomeDepot
- Justo
- Coppel
- Liverpool
- Sears
- H.E.B.
- Mercado Libre
- Office Depot
- Elektra",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 04,7,Dar clic al boton Aplicar,,"El sistema realiza la seleccion correctamente y se habilita el boton Buscar
Tambien se muestran correctamente las siguientes pestanas:
- Sugerencia de Matches
- Matches Activos
- Cancelaciones solicitadas",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 04,8,Dar clic al boton Buscar,,"El sistema muestra el mensaje ""Resultados encontrados con exito"" seleccionando por defecto la pestana Sugerencia de Automatches mostrando la siguente Informacion:

- Descripcion: ""Aprueba la activacion de los matches correctos y elimina los incorrectos."" 
- boton Descargar Resultados
- boton Pantalla Completa
- Leyenda Matches Sugeridos 
- Radio button de resultados (Todos/Top Venta/Evento) seleccionando por defecto la opcion Top Venta
- Campo de Texto Buscar por Descripcion o UPC
- Informacion de articulos con los siguientes campos:
   a) Descripcion Walmart
   b) UPC Walmart
   c) Articulos
   d) Seller Walmart
   e) Marca
   f) Competidor
   g) Descripcion Competidor
   h) SKU Competidor
   i) Seller Competidor
   j) Precio Walmart
   k) Precio Competidor
   l) Similitud
   m) URL
   n) Acciones (Aprobar/Eliminar)
- Filtro Registros por Pagina
- Contador Total de Registros
- botones de Paginacion",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 04,9,Posicionar el cursor en las columnas de la izquierda,,El sistema cambia el cursor a una manita indicando que se puede manipular la visibilidad de campos,P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 04,10,Dejar presionado el clic y mover el cursor de izquierda a derecha,,"El sistema permite correctamente el desplazamiento de información, mostrando las columnas ocultas sin perder visibilidad de los campos de la derecha",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 05,1,Ingresar a Compass,,"Se ingresa correctamente al sistema y se muestran las siguientes opciones:
Inicio
ATOM
Grupo de tiendas
CANELA
Parrilla Promocional
SUMD
Digitalizacion
Red de Seguridad
WHPK Óptimo
Tableros
Accesos directos
Manuales e instructivos
Cost Analytics
Price Gap
Políticas vigentes
Kraken
SUMD MDO Sams
Configuración de Perfil
Registrar Anuncio",P1,TC-12-35463-05 - Sugerencia de Matches - Filtro de Artículos,,TODO,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 05,2,Seleccionar la opción Kraken,,"Se visualiza correctamente el menú de Digitalización mostrando las siguientes opciones:

Kraken",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 05,3,Seleccionar la pestaña de Automatches,,"Se visualiza correctamente la pantalla de Compass - Kraken - Automatches con los siguientes datos:
- Opción Formato de tienda
- Opción Banner
- Opción Competidor
- Opción Tribu
- Opción Super Squad
- Opción Squad
- Opción Departamento
- Opción Categoría
- Botón Buscar (Deshabilitado inicialmente hasta que se realice como mínimo la selección de Competidor)
- Botón Limpiar Filtros",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 05,4,Seleccionar Formato de tienda,,"Se permite la selección de formato entre las siguientes opciones:
- Walmart
- Bodega Aurrera
- Sams",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 05,5,Seleccionar Banner,,"El sistema permite seleccionar entre 2 opciones:
- On Demand
- Catálogo extendido",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 05,6,Seleccionar Competidor,,"Al haber seleccionado la opción Walmart se mostraran los competidores relacionados
Se permite la selección de promoción correctamente entre las siguientes opciones:

- Palacio de Hierro
- Costco
- Amazon
- HomeDepot
- Justo
- Coppel
- Liverpool
- Sears
- H.E.B.
- Mercado Libre
- Office Depot
- Elektra",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 05,7,Dar clic al botón Aplicar,,"El sistema realiza la selección correctamente y se hábilita el botón Buscar
También se muestran correctamente las siguientes pestañas:
- Sugerencia de Matches
- Matches Activos
- Cancelaciones solicitadas",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 05,8,Dar clic al botón Buscar,,"El sistema muestra el mensaje ""Resultados encontrados con éxito"" seleccionando por defecto la pestaña Sugerencia de Automatches mostrando la siguente información:

- Descripción: ""Aprueba la activación de los matches correctos y elimina los incorrectos."" 
- Botón Descargar Resultados
- Botón Pantalla Completa
- Leyenda Matches Sugeridos 
- Radio buttón de resultados (Todos/Top Venta/Evento) seleccionando por defecto la opción Top Venta
- Campo de Texto Buscar por Descripción o UPC
- Información de articulos con los siguientes campos:
   a) Descripción Walmart
   b) UPC Walmart
   c) Artículos
   d) Seller Walmart
   e) Marca
   f) Competidor
   g) Descrpción Competidor
   h) SKU Competidor
   i) Seller Competidor
   j) Precio Walmart
   k) Precio Competidor
   l) Similitud
   m) URL
   n) Acciones (Aprobar/Eliminar)
- Filtro Registros por Página
- Contador Total de Registros
- Botónes de Paginación",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 05,9,Dar clic a la opción Todos,,El sistema muestra correctamente todos los resultados obtenidos,P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 05,10,Dar clic a la opción Evento,,El sistema muestra correctamente solo los resultados que correspondan a Eventos,P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 05,11,Dar clic a la opción Top Ventas,,El sistema muestra correctamente solo los resultados con Venta,P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 06,1,Ingresar a Compass,,"Se ingresa correctamente al sistema y se muestran las siguientes opciones:
Inicio
ATOM
Grupo de tiendas
CANELA
Parrilla Promocional
SUMD
Digitalizacion
Red de Seguridad
WHPK Óptimo
Tableros
Accesos directos
Manuales e instructivos
Cost Analytics
Price Gap
Políticas vigentes
Kraken
SUMD MDO Sams
Configuración de Perfil
Registrar Anuncio",P1,TC-12-35463-06 - Mensajes Snak Bar,,TODO,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 06,2,Seleccionar la opción Kraken,,"Se visualiza correctamente el menú de Digitalización mostrando las siguientes opciones:

Kraken",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 06,3,Seleccionar la pestaña de Automatches,,"Se visualiza correctamente la pantalla de Compass - Kraken - Automatches con los siguientes datos:
- Opción Formato de tienda
- Opción Banner
- Opción Competidor
- Opción Tribu
- Opción Super Squad
- Opción Squad
- Opción Departamento
- Opción Categoría
- Botón Buscar (Deshabilitado inicialmente hasta que se realice como mínimo la selección de Competidor)
- Botón Limpiar Filtros",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 06,4,Seleccionar Formato de tienda,,"Se permite la selección de formato entre las siguientes opciones:
- Walmart
- Bodega Aurrera
- Sams",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 06,5,Seleccionar Banner,,"El sistema permite seleccionar entre 2 opciones:
- On Demand
- Catálogo extendido",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
MMCS - 35463 - 06,6,Seleccionar Competidor,,"Al haber seleccionado la opción Walmart se mostraran los competidores relacionados
Se permite la selección de promoción correctamente entre las siguientes opciones:

- Palacio de Hierro
- Costco
- Amazon
- HomeDepot
- Justo
- Coppel
- Liverpool
- Sears
- H.E.B.
- Mercado Libre
- Office Depot
- Elektra",P1,,,,,MMCS-36887,MMCS-36880,bugs_mejoras_kraken,MMCS-35525,vn57rn3,PCS_Kraken (Price Value),DA_AX,DEV,SP-KR-25,TC-Compass
